"January 2021, Seasonally adjusted"
,"New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Australia"
"Employed people","4,075,200","3,429,400","2,582,200","840,200","1,366,400","257,100","130,600","234,000","12,939,900"
"Employed people - monthly change","0.0%","1.3%","0.1%","-1.4%","-1.0%","1.2%","1.1%","-2.0%","0.2%"
"Employment to population ratio","61.3%","62.4%","61.7%","57.7%","63.6%","57.4%","69.3%","68.1%","61.9%"
"Employment to population ratio - monthly change","0.0 pts","0.8 pts","0.0 pts","-0.9 pts","-0.7 pts","0.6 pts","0.8 pts","-1.4 pts","0.1 pts"
"Unemployment rate","6.0%","6.3%","7.0%","7.1%","6.2%","5.9%","5.6%","4.4%","6.4%"
"Unemployment rate - monthly change","-0.3 pts","-0.2 pts","-0.5 pts","0.7 pts","-0.1 pts","-1.1 pts","0.2 pts","0.7 pts","-0.2 pts"
"Underemployment rate","8.0%","8.5%","8.6%","8.3%","7.0%","8.9%","6.9%","5.7%","8.1%"
"Underemployment rate - monthly change","-0.4 pts","-0.5 pts","0.1 pts","-2.0 pts","-0.6 pts","-0.9 pts","0.6 pts","-0.3 pts","-0.4 pts"
"Participation rate","65.3%","66.7%","66.3%","62.1%","67.8%","61.0%","73.4%","71.2%","66.1%"
"Participation rate - monthly change","-0.3 pts","0.6 pts","-0.4 pts","-0.4 pts","-0.8 pts","-0.1 pts","1.0 pts","-1.0 pts","-0.1 pts"

"Source: Australian Bureau of Statistics, Labour Force, Australia January 2021"
