"January 2024 - Trend"
,"New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Australia"
"Employed people","4,420,900","3,689,300","2,885,100","948,600","1,591,200","285,000","140,100","266,200","14,221,900"
"Employed people - monthly change","0.1%","0.0%","0.2%","-0.2%","0.2%","-0.2%","0.4%","-0.3%","0.1%"
"Employment to population ratio","63.7%","64.6%","63.8%","61.1%","66.7%","59.2%","70.8%","69.3%","64.1%"
"Employment to population ratio - monthly change","-0.1 pts","-0.1 pts","0.0 pts","-0.2 pts","-0.1 pts","-0.2 pts","0.2 pts","-0.4 pts","-0.1 pts"
"Unemployment rate","3.7%","4.0%","4.3%","3.9%","4.0%","4.2%","4.4%","3.9%","3.9%"
"Unemployment rate - monthly change","0.1 pts","0.0 pts","0.0 pts","0.1 pts","0.1 pts","0.0 pts","0.1 pts","0.1 pts","0.0 pts"
"Underemployment rate","6.5%","6.8%","6.9%","7.6%","6.0%","6.8%","3.9%","5.3%","6.6%"
"Underemployment rate - monthly change","0.0 pts","0.1 pts","0.0 pts","0.0 pts","0.0 pts","0.1 pts","-0.1 pts","0.2 pts","0.0 pts"
"Participation rate","66.2%","67.3%","66.7%","63.6%","69.5%","61.8%","74.1%","72.1%","66.8%"
"Participation rate - monthly change","0.0 pts","-0.1 pts","0.0 pts","-0.2 pts","0.0 pts","-0.2 pts","0.3 pts","-0.3 pts","-0.1 pts"

"Source: Australian Bureau of Statistics, Labour Force, Australia January 2024"
