"Unemployed people, Australia, August 1966 to August 2024, Seasonally adjusted"
,"Persons ('000)","Males ('000)","Females ('000)"
"Aug-66","90.3","42.5","46.9"
"Sep-66","90.3","42.5","46.9"
"Oct-66","85.7","38.4","47.7"
"Nov-66","85.7","38.4","47.7"
"Dec-66","85.7","38.4","47.7"
"Jan-67","91.0","44.7","46.1"
"Feb-67","91.0","44.7","46.1"
"Mar-67","91.0","44.7","46.1"
"Apr-67","98.4","46.2","52.0"
"May-67","98.4","46.2","52.0"
"Jun-67","98.4","46.2","52.0"
"Jul-67","97.7","46.5","51.2"
"Aug-67","97.7","46.5","51.2"
"Sep-67","97.7","46.5","51.2"
"Oct-67","92.9","41.7","51.6"
"Nov-67","92.9","41.7","51.6"
"Dec-67","92.9","41.7","51.6"
"Jan-68","94.3","41.8","52.0"
"Feb-68","94.3","41.8","52.0"
"Mar-68","94.3","41.8","52.0"
"Apr-68","97.6","43.4","54.2"
"May-68","97.6","43.4","54.2"
"Jun-68","97.6","43.4","54.2"
"Jul-68","95.5","42.0","53.7"
"Aug-68","95.5","42.0","53.7"
"Sep-68","95.5","42.0","53.7"
"Oct-68","88.1","37.7","50.7"
"Nov-68","88.1","37.7","50.7"
"Dec-68","88.1","37.7","50.7"
"Jan-69","94.9","41.6","52.7"
"Feb-69","94.9","41.6","52.7"
"Mar-69","94.9","41.6","52.7"
"Apr-69","92.5","39.1","53.5"
"May-69","92.5","39.1","53.5"
"Jun-69","92.5","39.1","53.5"
"Jul-69","91.8","38.0","53.1"
"Aug-69","91.8","38.0","53.1"
"Sep-69","91.8","38.0","53.1"
"Oct-69","104.1","45.1","59.3"
"Nov-69","104.1","45.1","59.3"
"Dec-69","104.1","45.1","59.3"
"Jan-70","88.3","37.4","50.6"
"Feb-70","88.3","37.4","50.6"
"Mar-70","88.3","37.4","50.6"
"Apr-70","91.6","38.5","53.4"
"May-70","91.6","38.5","53.4"
"Jun-70","91.6","38.5","53.4"
"Jul-70","91.9","41.9","49.5"
"Aug-70","91.9","41.9","49.5"
"Sep-70","91.9","41.9","49.5"
"Oct-70","90.8","40.7","50.1"
"Nov-70","90.8","40.7","50.1"
"Dec-70","90.8","40.7","50.1"
"Jan-71","97.3","40.9","56.1"
"Feb-71","97.3","40.9","56.1"
"Mar-71","97.3","40.9","56.1"
"Apr-71","106.1","51.0","55.9"
"May-71","106.1","51.0","55.9"
"Jun-71","106.1","51.0","55.9"
"Jul-71","107.7","49.9","57.6"
"Aug-71","107.7","49.9","57.6"
"Sep-71","107.7","49.9","57.6"
"Oct-71","121.8","61.8","59.8"
"Nov-71","121.8","61.8","59.8"
"Dec-71","121.8","61.8","59.8"
"Jan-72","139.0","73.4","65.5"
"Feb-72","139.0","73.4","65.5"
"Mar-72","139.0","73.4","65.5"
"Apr-72","135.0","65.4","70.0"
"May-72","135.0","65.4","70.0"
"Jun-72","135.0","65.4","70.0"
"Jul-72","168.6","85.4","82.6"
"Aug-72","168.6","85.4","82.6"
"Sep-72","168.6","85.4","82.6"
"Oct-72","160.9","73.9","86.9"
"Nov-72","160.9","73.9","86.9"
"Dec-72","160.9","73.9","86.9"
"Jan-73","151.8","69.9","81.4"
"Feb-73","151.8","69.9","81.4"
"Mar-73","151.8","69.9","81.4"
"Apr-73","135.3","65.2","70.9"
"May-73","135.3","65.2","70.9"
"Jun-73","135.3","65.2","70.9"
"Jul-73","125.3","61.1","65.1"
"Aug-73","125.3","61.1","65.1"
"Sep-73","125.3","61.1","65.1"
"Oct-73","126.9","59.9","66.9"
"Nov-73","126.9","59.9","66.9"
"Dec-73","126.9","59.9","66.9"
"Jan-74","128.9","58.5","69.9"
"Feb-74","128.9","58.5","69.9"
"Mar-74","128.9","58.5","69.9"
"Apr-74","129.4","55.0","74.7"
"May-74","129.4","55.0","74.7"
"Jun-74","129.4","55.0","74.7"
"Jul-74","165.1","77.1","87.6"
"Aug-74","165.1","77.1","87.6"
"Sep-74","165.1","77.1","87.6"
"Oct-74","247.1","120.6","127.2"
"Nov-74","247.1","120.6","127.2"
"Dec-74","247.1","120.6","127.2"
"Jan-75","296.5","152.0","145.3"
"Feb-75","296.5","152.0","145.3"
"Mar-75","296.5","152.0","145.3"
"Apr-75","294.2","146.8","146.1"
"May-75","294.2","146.8","146.1"
"Jun-75","294.2","146.8","146.1"
"Jul-75","287.6","140.7","147.2"
"Aug-75","287.6","140.7","147.2"
"Sep-75","287.6","140.7","147.2"
"Oct-75","334.8","160.0","175.8"
"Nov-75","334.8","160.0","175.8"
"Dec-75","334.8","160.0","175.8"
"Jan-76","303.6","157.3","147.0"
"Feb-76","303.6","157.3","147.0"
"Mar-76","303.6","157.3","147.0"
"Apr-76","281.4","143.8","136.1"
"May-76","281.4","143.8","136.1"
"Jun-76","281.4","143.8","136.1"
"Jul-76","302.0","159.1","143.3"
"Aug-76","302.0","159.1","143.3"
"Sep-76","302.0","159.1","143.3"
"Oct-76","304.6","165.7","138.8"
"Nov-76","304.6","165.7","138.8"
"Dec-76","304.6","165.7","138.8"
"Jan-77","329.7","169.7","160.9"
"Feb-77","329.7","169.7","160.9"
"Mar-77","329.7","169.7","160.9"
"Apr-77","359.7","187.4","170.8"
"May-77","359.7","187.4","170.8"
"Jun-77","359.7","187.4","170.8"
"Jul-77","372.2","193.2","179.3"
"Aug-77","372.2","193.2","179.3"
"Sep-77","372.2","193.2","179.3"
"Oct-77","375.9","196.3","179.5"
"Nov-77","375.9","196.3","179.5"
"Dec-77","375.9","196.3","179.5"
"Jan-78","426.9","231.4","195.5"
"Feb-78","426.9","231.4","195.5"
"Mar-78","403.8","217.6","186.2"
"Apr-78","403.2","220.4","182.9"
"May-78","399.4","215.2","184.2"
"Jun-78","405.9","225.6","180.3"
"Jul-78","400.1","221.0","179.1"
"Aug-78","418.9","231.3","187.7"
"Sep-78","402.5","224.4","178.0"
"Oct-78","396.4","222.3","174.1"
"Nov-78","407.4","225.4","182.0"
"Dec-78","414.3","224.4","189.8"
"Jan-79","411.8","223.4","188.4"
"Feb-79","404.7","219.2","185.5"
"Mar-79","407.4","221.9","185.4"
"Apr-79","421.5","228.8","192.6"
"May-79","401.5","216.2","185.3"
"Jun-79","406.7","216.6","190.1"
"Jul-79","408.1","212.4","195.7"
"Aug-79","398.5","205.9","192.5"
"Sep-79","406.5","207.4","199.1"
"Oct-79","419.5","209.8","209.7"
"Nov-79","397.6","200.8","196.8"
"Dec-79","403.1","208.5","194.6"
"Jan-80","406.3","218.0","188.3"
"Feb-80","397.0","209.7","187.4"
"Mar-80","393.4","210.1","183.3"
"Apr-80","406.8","216.3","190.5"
"May-80","417.6","225.0","192.6"
"Jun-80","423.6","220.3","203.3"
"Jul-80","408.0","214.9","193.0"
"Aug-80","415.8","218.1","197.7"
"Sep-80","413.3","216.4","196.9"
"Oct-80","406.5","208.2","198.3"
"Nov-80","393.2","199.2","194.1"
"Dec-80","409.1","209.6","199.5"
"Jan-81","399.7","210.3","189.4"
"Feb-81","379.2","200.5","178.7"
"Mar-81","388.7","200.6","188.1"
"Apr-81","376.6","194.9","181.7"
"May-81","379.1","197.0","182.1"
"Jun-81","364.6","190.3","174.3"
"Jul-81","397.1","205.2","191.9"
"Aug-81","399.5","206.9","192.6"
"Sep-81","398.5","213.3","185.2"
"Oct-81","401.1","214.0","187.2"
"Nov-81","409.2","218.4","190.8"
"Dec-81","412.4","217.2","195.1"
"Jan-82","411.5","215.2","196.3"
"Feb-82","434.3","229.9","204.4"
"Mar-82","434.9","233.5","201.3"
"Apr-82","436.5","235.0","201.5"
"May-82","454.0","244.3","209.7"
"Jun-82","466.0","251.2","214.8"
"Jul-82","474.4","263.8","210.6"
"Aug-82","483.8","280.4","203.4"
"Sep-82","513.6","298.5","215.2"
"Oct-82","579.1","328.6","250.5"
"Nov-82","603.1","352.8","250.3"
"Dec-82","653.3","390.1","263.2"
"Jan-83","645.4","393.8","251.6"
"Feb-83","672.4","403.8","268.6"
"Mar-83","691.3","423.1","268.2"
"Apr-83","704.3","438.9","265.4"
"May-83","721.0","440.1","280.9"
"Jun-83","712.6","439.3","273.3"
"Jul-83","737.6","457.2","280.4"
"Aug-83","715.1","440.4","274.7"
"Sep-83","728.2","440.0","288.2"
"Oct-83","702.5","428.9","273.6"
"Nov-83","679.0","415.8","263.2"
"Dec-83","666.2","405.8","260.4"
"Jan-84","669.3","412.6","256.7"
"Feb-84","662.0","399.4","262.6"
"Mar-84","653.9","391.4","262.5"
"Apr-84","667.3","393.1","274.2"
"May-84","635.8","385.5","250.3"
"Jun-84","650.6","388.0","262.6"
"Jul-84","637.1","380.1","257.1"
"Aug-84","630.1","391.0","239.1"
"Sep-84","625.7","380.3","245.3"
"Oct-84","622.3","376.1","246.2"
"Nov-84","622.5","368.5","254.0"
"Dec-84","610.3","365.9","244.4"
"Jan-85","613.6","369.3","244.3"
"Feb-85","606.8","359.0","247.7"
"Mar-85","626.2","377.0","249.2"
"Apr-85","606.4","366.3","240.1"
"May-85","607.5","365.3","242.2"
"Jun-85","624.5","378.5","246.0"
"Jul-85","605.4","365.8","239.6"
"Aug-85","597.3","357.7","239.6"
"Sep-85","593.4","345.7","247.7"
"Oct-85","575.4","333.5","241.9"
"Nov-85","592.0","336.7","255.3"
"Dec-85","575.9","328.7","247.2"
"Jan-86","581.6","336.7","244.9"
"Feb-86","599.5","339.9","259.5"
"Mar-86","594.1","340.5","253.6"
"Apr-86","598.0","344.2","253.8"
"May-86","592.9","340.1","252.8"
"Jun-86","580.6","332.8","247.8"
"Jul-86","616.6","352.1","264.5"
"Aug-86","625.7","358.4","267.3"
"Sep-86","636.2","365.6","270.6"
"Oct-86","636.1","366.5","269.5"
"Nov-86","635.8","373.3","262.5"
"Dec-86","641.0","378.6","262.4"
"Jan-87","626.4","367.8","258.6"
"Feb-87","631.2","364.5","266.7"
"Mar-87","651.1","373.8","277.4"
"Apr-87","641.3","362.1","279.2"
"May-87","633.3","368.3","265.0"
"Jun-87","620.4","365.0","255.4"
"Jul-87","630.0","363.4","266.6"
"Aug-87","630.5","356.4","274.1"
"Sep-87","600.0","347.3","252.7"
"Oct-87","630.4","367.0","263.4"
"Nov-87","616.5","355.3","261.1"
"Dec-87","605.9","345.3","260.6"
"Jan-88","602.7","339.3","263.4"
"Feb-88","583.3","329.1","254.2"
"Mar-88","594.4","334.6","259.8"
"Apr-88","632.5","353.9","278.6"
"May-88","591.1","329.9","261.2"
"Jun-88","603.4","337.3","266.2"
"Jul-88","534.7","307.6","227.1"
"Aug-88","563.4","313.9","249.5"
"Sep-88","555.1","311.0","244.1"
"Oct-88","546.2","306.7","239.5"
