Date,Persons,Males,Females
Aug-66,4836,3374,1462
Sep-66,4836,3374,1462
Oct-66,4855,3384,1475
Nov-66,4855,3384,1475
Dec-66,4855,3384,1475
Jan-67,4886,3388,1495
Feb-67,4886,3388,1495
Mar-67,4886,3388,1495
Apr-67,4908,3401,1506
May-67,4908,3401,1506
Jun-67,4908,3401,1506
Jul-67,4946,3418,1528
Aug-67,4946,3418,1528
Sep-67,4946,3418,1528
Oct-67,4972,3443,1532
Nov-67,4972,3443,1532
Dec-67,4972,3443,1532
Jan-68,5003,3449,1552
Feb-68,5003,3449,1552
Mar-68,5003,3449,1552
Apr-68,5033,3462,1571
May-68,5033,3462,1571
Jun-68,5033,3462,1571
Jul-68,5069,3485,1583
Aug-68,5069,3485,1583
Sep-68,5069,3485,1583
Oct-68,5080,3500,1583
Nov-68,5080,3500,1583
Dec-68,5080,3500,1583
Jan-69,5140,3525,1612
Feb-69,5140,3525,1612
Mar-69,5140,3525,1612
Apr-69,5159,3539,1621
May-69,5159,3539,1621
Jun-69,5159,3539,1621
Jul-69,5196,3553,1643
Aug-69,5196,3553,1643
Sep-69,5196,3553,1643
Oct-69,5254,3575,1681
Nov-69,5254,3575,1681
Dec-69,5254,3575,1681
Jan-70,5321,3617,1701
Feb-70,5321,3617,1701
Mar-70,5321,3617,1701
Apr-70,5370,3637,1734
May-70,5370,3637,1734
Jun-70,5370,3637,1734
Jul-70,5410,3654,1756
Aug-70,5410,3654,1756
Sep-70,5410,3654,1756
Oct-70,5448,3663,1786
Nov-70,5448,3663,1786
Dec-70,5448,3663,1786
Jan-71,5482,3683,1798
Feb-71,5482,3683,1798
Mar-71,5482,3683,1798
Apr-71,5523,3701,1824
May-71,5523,3701,1824
Jun-71,5523,3701,1824
Jul-71,5532,3720,1812
Aug-71,5532,3720,1812
Sep-71,5532,3720,1812
Oct-71,5527,3724,1803
Nov-71,5527,3724,1803
Dec-71,5527,3724,1803
Jan-72,5537,3730,1806
Feb-72,5537,3730,1806
Mar-72,5537,3730,1806
Apr-72,5562,3748,1816
May-72,5562,3748,1816
Jun-72,5562,3748,1816
Jul-72,5630,3767,1862
Aug-72,5630,3767,1862
Sep-72,5630,3767,1862
Oct-72,5675,3788,1886
Nov-72,5675,3788,1886
Dec-72,5675,3788,1886
Jan-73,5704,3793,1910
Feb-73,5704,3793,1910
Mar-73,5704,3793,1910
Apr-73,5711,3795,1920
May-73,5711,3795,1920
Jun-73,5711,3795,1920
Jul-73,5808,3851,1954
Aug-73,5808,3851,1954
Sep-73,5808,3851,1954
Oct-73,5837,3861,1975
Nov-73,5837,3861,1975
Dec-73,5837,3861,1975
Jan-74,5900,3883,2017
Feb-74,5900,3883,2017
Mar-74,5900,3883,2017
Apr-74,5906,3883,2028
May-74,5906,3883,2028
Jun-74,5906,3883,2028
Jul-74,5883,3860,2019
Aug-74,5883,3860,2019
Sep-74,5883,3860,2019
Oct-74,5876,3849,2026
Nov-74,5876,3849,2026
Dec-74,5876,3849,2026
Jan-75,5828,3823,2005
Feb-75,5828,3823,2005
Mar-75,5828,3823,2005
Apr-75,5836,3827,2014
May-75,5836,3827,2014
Jun-75,5836,3827,2014
Jul-75,5871,3835,2031
Aug-75,5871,3835,2031
Sep-75,5871,3835,2031
Oct-75,5931,3841,2090
Nov-75,5931,3841,2090
Dec-75,5931,3841,2090
Jan-76,5950,3856,2095
Feb-76,5950,3856,2095
Mar-76,5950,3856,2095
Apr-76,5965,3874,2094
May-76,5965,3874,2094
Jun-76,5965,3874,2094
Jul-76,5927,3851,2072
Aug-76,5927,3851,2072
Sep-76,5927,3851,2072
Oct-76,5943,3872,2071
Nov-76,5943,3872,2071
Dec-76,5943,3872,2071
Jan-77,5987,3882,2107
Feb-77,5987,3882,2107
Mar-77,5987,3882,2107
Apr-77,6006,3879,2130
May-77,6006,3879,2130
Jun-77,6006,3879,2130
Jul-77,6023,3882,2137
Aug-77,6023,3882,2137
Sep-77,6023,3882,2137
Oct-77,5984,3874,2111
Nov-77,5984,3874,2111
Dec-77,5984,3874,2111
