Industry,Employed,Female Share (%),Part-time Share (%),Median Weekly Earnings,Workforce Share (%),Median Age,,
"Agriculture, Forestry and Fishing",318800,32,28,1250,2.2,52,,
Mining,300700,21,5,2452,2.1,41,,
Manufacturing,898400,30,17,1512,6.2,42,,
"Electricity, Gas, Water and Waste Services",193100,27,10,2000,1.3,42,,
Construction,1334600,14,15,1538,9.3,37,,
Wholesale Trade,380700,34,18,1472,2.6,43,,
Retail Trade,1335400,55,51,1229,9.3,33,,
Accommodation and Food Services,957900,53,61,1193,6.6,25,,
"Transport, Postal and Warehousing",721900,23,22,1550,5,43,,
Information Media and Telecommunications,187300,41,20,1803,1.3,39,,
Financial and Insurance Services,534200,49,13,1899,3.7,40,,
"Rental, Hiring and Real Estate Services",239100,47,23,1395,1.7,41,,
"Professional, Scientific and Technical Services",1329200,43,19,1900,9.2,39,,
Administrative and Support Services,436800,52,40,1400,3,41,,
Public Administration and Safety,969400,50,16,1750,6.7,43,,
Education and Training,1229200,72,40,1750,8.5,42,,
Health Care and Social Assistance,2256500,77,44,1579,15.6,40,,
Arts and Recreation Services,274300,49,46,1450,1.9,35,,
Other Services,526000,44,32,1350,3.6,39,,
