Date,Hours worked,Yearly change
8/14/2024,1613.7,-0.2
9/14/2024,1609.5,0.3
10/14/2024,1612,0.5
11/14/2024,1610.2,0.5
12/14/2024,1600.6,0
1/15/2024,1623.8,2.2
2/15/2024,1625.8,1.4
3/15/2024,1634.3,1.4
4/15/2024,1631.9,1.7
5/15/2024,1634.7,1.5
6/15/2024,1631,1
7/15/2024,1637.2,1.5
8/15/2024,1634.6,1.3
9/15/2024,1645.7,2.3
10/15/2024,1652.3,2.5
11/15/2024,1649.7,2.5
12/15/2024,1650.1,3.1
1/16/2024,1658.9,2.2
2/16/2024,1660.7,2.1
3/16/2024,1654.2,1.2
4/16/2024,1628.2,-0.2
5/16/2024,1660.9,1.6
6/16/2024,1655.3,1.5
7/16/2024,1659.1,1.3
8/16/2024,1660.3,1.6
9/16/2024,1656.4,0.6
10/16/2024,1659.8,0.5
11/16/2024,1662.5,0.8
12/16/2024,1673.3,1.4
1/17/2024,1708.6,3
2/17/2024,1658.6,-0.1
3/17/2024,1676.6,1.3
4/17/2024,1667.2,2.4
5/17/2024,1711.5,3
6/17/2024,1707.2,3.1
7/17/2024,1698.8,2.4
8/17/2024,1702.2,2.5
9/17/2024,1711.3,3.3
10/17/2024,1711.7,3.1
11/17/2024,1724.1,3.7
12/17/2024,1716.8,2.6
1/18/2024,1719.5,0.6
2/18/2024,1716.8,3.5
3/18/2024,1720,2.6
4/18/2024,1737.9,4.2
5/18/2024,1727.2,0.9
6/18/2024,1736.2,1.7
7/18/2024,1737.9,2.3
8/18/2024,1740.1,2.2
9/18/2024,1742.8,1.8
10/18/2024,1748,2.1
11/18/2024,1746.1,1.3
12/18/2024,1742.8,1.5
1/19/2024,1755.1,2.1
2/19/2024,1764,2.7
3/19/2024,1775.6,3.2
4/19/2024,1767.4,1.7
5/19/2024,1762,2
6/19/2024,1764.7,1.6
7/19/2024,1768.8,1.8
8/19/2024,1773.5,1.9
9/19/2024,1774.7,1.8
10/19/2024,1771.3,1.3
11/19/2024,1768.1,1.3
12/19/2024,1778.3,2
1/20/2024,1771.5,0.9
2/20/2024,1764.5,0
3/20/2024,1762.6,-0.7
4/20/2024,1584.6,-10.3
5/20/2024,1597.7,-9.3
6/20/2024,1660.6,-5.9
7/20/2024,1680.3,-5
8/20/2024,1684.8,-5
9/20/2024,1684.7,-5.1
10/20/2024,1707.4,-3.6
11/20/2024,1742.6,-1.4
12/20/2024,1747.7,-1.7
1/21/2024,1679.4,-5.2
2/21/2024,1758,-0.4
3/21/2024,1798.8,2.1
4/21/2024,1771.3,11.8
5/21/2024,1802.2,12.8
6/21/2024,1774.5,6.9
7/21/2024,1773.5,5.5
8/21/2024,1702.8,1.1
9/21/2024,1723.8,2.3
10/21/2024,1724.5,1
11/21/2024,1794.1,3
12/21/2024,1823.3,4.3
1/22/2024,1692.4,0.8
2/22/2024,1818.6,3.4
3/22/2024,1812.2,0.7
4/22/2024,1823.4,2.9
5/22/2024,1846.8,2.5
6/22/2024,1853.5,4.5
7/22/2024,1849.3,4.3
8/22/2024,1869.9,9.8
9/22/2024,1873.6,8.7
10/22/2024,1901.1,10.2
11/22/2024,1904.2,6.1
12/22/2024,1900.7,4.2
1/23/2024,1868.8,10.4
2/23/2024,1925.2,5.9
3/23/2024,1932.8,6.7
4/23/2024,1976.7,8.4
5/23/2024,1940.2,5.1
6/23/2024,1943.2,4.8
7/23/2024,1944.4,5.1
8/23/2024,1929.7,3.2
9/23/2024,1923.3,2.7
10/23/2024,1924.5,1.2
11/23/2024,1923.3,1
12/23/2024,1915,0.8
1/24/2024,1873.5,0.3
2/24/2024,1932.2,0.4
3/24/2024,1953,1
4/24/2024,1950.5,-1.3
5/24/2024,1942.3,0.1
6/24/2024,1947.1,0.2
7/24/2024,1954.7,0.5
8/24/2024,1962.4,1.7
