Date,Persons,Males,Females,Persons rate (%),Males rate (%),Females rate (%)
Aug-66,90.3,42.5,46.9,1.8,1.2,3.1
Sep-66,90.3,42.5,46.9,1.8,1.2,3.1
Oct-66,85.7,38.4,47.7,1.7,1.1,3.1
Nov-66,85.7,38.4,47.7,1.7,1.1,3.1
Dec-66,85.7,38.4,47.7,1.7,1.1,3.1
Jan-67,91,44.7,46.1,1.8,1.3,3
Feb-67,91,44.7,46.1,1.8,1.3,3
Mar-67,91,44.7,46.1,1.8,1.3,3
Apr-67,98.4,46.2,52,2,1.3,3.3
May-67,98.4,46.2,52,2,1.3,3.3
Jun-67,98.4,46.2,52,2,1.3,3.3
Jul-67,97.7,46.5,51.2,1.9,1.3,3.2
Aug-67,97.7,46.5,51.2,1.9,1.3,3.2
Sep-67,97.7,46.5,51.2,1.9,1.3,3.2
Oct-67,92.9,41.7,51.6,1.8,1.2,3.3
Nov-67,92.9,41.7,51.6,1.8,1.2,3.3
Dec-67,92.9,41.7,51.6,1.8,1.2,3.3
Jan-68,94.3,41.8,52,1.9,1.2,3.2
Feb-68,94.3,41.8,52,1.9,1.2,3.2
Mar-68,94.3,41.8,52,1.9,1.2,3.2
Apr-68,97.6,43.4,54.2,1.9,1.2,3.3
May-68,97.6,43.4,54.2,1.9,1.2,3.3
Jun-68,97.6,43.4,54.2,1.9,1.2,3.3
Jul-68,95.5,42,53.7,1.8,1.2,3.3
Aug-68,95.5,42,53.7,1.8,1.2,3.3
Sep-68,95.5,42,53.7,1.8,1.2,3.3
Oct-68,88.1,37.7,50.7,1.7,1.1,3.1
Nov-68,88.1,37.7,50.7,1.7,1.1,3.1
Dec-68,88.1,37.7,50.7,1.7,1.1,3.1
Jan-69,94.9,41.6,52.7,1.8,1.2,3.2
Feb-69,94.9,41.6,52.7,1.8,1.2,3.2
Mar-69,94.9,41.6,52.7,1.8,1.2,3.2
Apr-69,92.5,39.1,53.5,1.8,1.1,3.2
May-69,92.5,39.1,53.5,1.8,1.1,3.2
Jun-69,92.5,39.1,53.5,1.8,1.1,3.2
Jul-69,91.8,38,53.1,1.7,1.1,3.1
Aug-69,91.8,38,53.1,1.7,1.1,3.1
Sep-69,91.8,38,53.1,1.7,1.1,3.1
Oct-69,104.1,45.1,59.3,1.9,1.2,3.4
Nov-69,104.1,45.1,59.3,1.9,1.2,3.4
Dec-69,104.1,45.1,59.3,1.9,1.2,3.4
Jan-70,88.3,37.4,50.6,1.6,1,2.9
Feb-70,88.3,37.4,50.6,1.6,1,2.9
Mar-70,88.3,37.4,50.6,1.6,1,2.9
Apr-70,91.6,38.5,53.4,1.7,1,3
May-70,91.6,38.5,53.4,1.7,1,3
Jun-70,91.6,38.5,53.4,1.7,1,3
Jul-70,91.9,41.9,49.5,1.7,1.1,2.7
Aug-70,91.9,41.9,49.5,1.7,1.1,2.7
Sep-70,91.9,41.9,49.5,1.7,1.1,2.7
Oct-70,90.8,40.7,50.1,1.6,1.1,2.7
Nov-70,90.8,40.7,50.1,1.6,1.1,2.7
Dec-70,90.8,40.7,50.1,1.6,1.1,2.7
Jan-71,97.3,40.9,56.1,1.7,1.1,3
Feb-71,97.3,40.9,56.1,1.7,1.1,3
Mar-71,97.3,40.9,56.1,1.7,1.1,3
Apr-71,106.1,51,55.9,1.9,1.4,3
May-71,106.1,51,55.9,1.9,1.4,3
Jun-71,106.1,51,55.9,1.9,1.4,3
Jul-71,107.7,49.9,57.6,1.9,1.3,3.1
Aug-71,107.7,49.9,57.6,1.9,1.3,3.1
Sep-71,107.7,49.9,57.6,1.9,1.3,3.1
Oct-71,121.8,61.8,59.8,2.2,1.6,3.2
Nov-71,121.8,61.8,59.8,2.2,1.6,3.2
Dec-71,121.8,61.8,59.8,2.2,1.6,3.2
Jan-72,139,73.4,65.5,2.4,1.9,3.5
Feb-72,139,73.4,65.5,2.4,1.9,3.5
Mar-72,139,73.4,65.5,2.4,1.9,3.5
Apr-72,135,65.4,70,2.4,1.7,3.7
May-72,135,65.4,70,2.4,1.7,3.7
Jun-72,135,65.4,70,2.4,1.7,3.7
Jul-72,168.6,85.4,82.6,2.9,2.2,4.3
Aug-72,168.6,85.4,82.6,2.9,2.2,4.3
Sep-72,168.6,85.4,82.6,2.9,2.2,4.3
Oct-72,160.9,73.9,86.9,2.8,1.9,4.4
Nov-72,160.9,73.9,86.9,2.8,1.9,4.4
Dec-72,160.9,73.9,86.9,2.8,1.9,4.4
Jan-73,151.8,69.9,81.4,2.6,1.8,4.1
Feb-73,151.8,69.9,81.4,2.6,1.8,4.1
Mar-73,151.8,69.9,81.4,2.6,1.8,4.1
Apr-73,135.3,65.2,70.9,2.3,1.7,3.6
May-73,135.3,65.2,70.9,2.3,1.7,3.6
Jun-73,135.3,65.2,70.9,2.3,1.7,3.6
Jul-73,125.3,61.1,65.1,2.1,1.6,3.2
Aug-73,125.3,61.1,65.1,2.1,1.6,3.2
Sep-73,125.3,61.1,65.1,2.1,1.6,3.2
Oct-73,126.9,59.9,66.9,2.1,1.5,3.3
Nov-73,126.9,59.9,66.9,2.1,1.5,3.3
Dec-73,126.9,59.9,66.9,2.1,1.5,3.3
Jan-74,128.9,58.5,69.9,2.1,1.5,3.4
Feb-74,128.9,58.5,69.9,2.1,1.5,3.4
Mar-74,128.9,58.5,69.9,2.1,1.5,3.4
Apr-74,129.4,55,74.7,2.1,1.4,3.6
May-74,129.4,55,74.7,2.1,1.4,3.6
Jun-74,129.4,55,74.7,2.1,1.4,3.6
Jul-74,165.1,77.1,87.6,2.7,2,4.2
Aug-74,165.1,77.1,87.6,2.7,2,4.2
Sep-74,165.1,77.1,87.6,2.7,2,4.2
Oct-74,247.1,120.6,127.2,4,3,5.9
Nov-74,247.1,120.6,127.2,4,3,5.9
Dec-74,247.1,120.6,127.2,4,3,5.9
Jan-75,296.5,152,145.3,4.8,3.8,6.8
Feb-75,296.5,152,145.3,4.8,3.8,6.8
Mar-75,296.5,152,145.3,4.8,3.8,6.8
Apr-75,294.2,146.8,146.1,4.8,3.7,6.8
May-75,294.2,146.8,146.1,4.8,3.7,6.8
Jun-75,294.2,146.8,146.1,4.8,3.7,6.8
Jul-75,287.6,140.7,147.2,4.7,3.5,6.7
Aug-75,287.6,140.7,147.2,4.7,3.5,6.7
Sep-75,287.6,140.7,147.2,4.7,3.5,6.7
Oct-75,334.8,160,175.8,5.4,4,7.8
Nov-75,334.8,160,175.8,5.4,4,7.8
Dec-75,334.8,160,175.8,5.4,4,7.8
Jan-76,303.6,157.3,147,4.9,3.9,6.6
Feb-76,303.6,157.3,147,4.9,3.9,6.6
Mar-76,303.6,157.3,147,4.9,3.9,6.6
Apr-76,281.4,143.8,136.1,4.5,3.6,6.1
May-76,281.4,143.8,136.1,4.5,3.6,6.1
Jun-76,281.4,143.8,136.1,4.5,3.6,6.1
Jul-76,302,159.1,143.3,4.8,4,6.5
Aug-76,302,159.1,143.3,4.8,4,6.5
Sep-76,302,159.1,143.3,4.8,4,6.5
Oct-76,304.6,165.7,138.8,4.9,4.1,6.3
Nov-76,304.6,165.7,138.8,4.9,4.1,6.3
Dec-76,304.6,165.7,138.8,4.9,4.1,6.3
Jan-77,329.7,169.7,160.9,5.2,4.2,7.1
Feb-77,329.7,169.7,160.9,5.2,4.2,7.1
Mar-77,329.7,169.7,160.9,5.2,4.2,7.1
Apr-77,359.7,187.4,170.8,5.6,4.6,7.4
May-77,359.7,187.4,170.8,5.6,4.6,7.4
Jun-77,359.7,187.4,170.8,5.6,4.6,7.4
Jul-77,372.2,193.2,179.3,5.8,4.7,7.7
Aug-77,372.2,193.2,179.3,5.8,4.7,7.7
Sep-77,372.2,193.2,179.3,5.8,4.7,7.7
Oct-77,375.9,196.3,179.5,5.9,4.8,7.8
Nov-77,375.9,196.3,179.5,5.9,4.8,7.8
Dec-77,375.9,196.3,179.5,5.9,4.8,7.8
Jan-78,426.9,231.4,195.5,6.6,5.6,8.5
Feb-78,426.9,231.4,195.5,6.6,5.6,8.5
Mar-78,403.8,217.6,186.2,6.3,5.3,8.1
Apr-78,403.2,220.4,182.9,6.3,5.4,7.9
May-78,399.4,215.2,184.2,6.2,5.2,7.9
Jun-78,405.9,225.6,180.3,6.3,5.5,7.7
Jul-78,400.1,221,179.1,6.2,5.4,7.7
Aug-78,418.9,231.3,187.7,6.5,5.6,8
Sep-78,402.5,224.4,178,6.3,5.5,7.6
Oct-78,396.4,222.3,174.1,6.2,5.4,7.5
Nov-78,407.4,225.4,182,6.3,5.5,7.8
Dec-78,414.3,224.4,189.8,6.4,5.5,8.1
Jan-79,411.8,223.4,188.4,6.4,5.4,8
Feb-79,404.7,219.2,185.5,6.3,5.3,7.9
Mar-79,407.4,221.9,185.4,6.3,5.4,7.9
Apr-79,421.5,228.8,192.6,6.5,5.5,8.2
May-79,401.5,216.2,185.3,6.2,5.2,7.9
Jun-79,406.7,216.6,190.1,6.3,5.2,8
Jul-79,408.1,212.4,195.7,6.3,5.1,8.3
Aug-79,398.5,205.9,192.5,6.1,5,8.2
Sep-79,406.5,207.4,199.1,6.2,5,8.4
Oct-79,419.5,209.8,209.7,6.4,5,8.7
Nov-79,397.6,200.8,196.8,6,4.8,8.1
Dec-79,403.1,208.5,194.6,6.1,5,8.1
Jan-80,406.3,218,188.3,6.1,5.2,7.8
Feb-80,397,209.7,187.4,6,5,7.7
Mar-80,393.4,210.1,183.3,5.9,5,7.5
Apr-80,406.8,216.3,190.5,6.1,5.2,7.7
May-80,417.6,225,192.6,6.2,5.3,7.8
Jun-80,423.6,220.3,203.3,6.3,5.2,8.2
Jul-80,408,214.9,193,6.1,5.1,7.7
Aug-80,415.8,218.1,197.7,6.2,5.2,7.9
Sep-80,413.3,216.4,196.9,6.1,5.1,7.8
Oct-80,406.5,208.2,198.3,6.1,4.9,8
Nov-80,393.2,199.2,194.1,5.8,4.7,7.8
Dec-80,409.1,209.6,199.5,6.1,4.9,8
Jan-81,399.7,210.3,189.4,5.9,4.9,7.6
Feb-81,379.2,200.5,178.7,5.6,4.7,7.2
Mar-81,388.7,200.6,188.1,5.7,4.7,7.5
Apr-81,376.6,194.9,181.7,5.6,4.6,7.2
